rule_id	name	whitney	stem_classes	accent_position	strong	middle	weakest	vocative	overrides	scheme	examples	decision	rejected_alternative	exceptions
R01	Vocative — first syllable, only when initial	§314a | §314b | §314c | §314d | §314e | §314f	all	any				first_syllable	condition: Accented ONLY at the beginning of a sentence / metrical division (pāda); elsewhere accentless-enclitic (§314c). A qualifier phrase forms one accentual unit with its vocative (§314d); coordinate vocatives at pāda-start are each accented (§314e). Vedic split-semivowel vocatives take the accent on the first vowel element, surfacing as circumflex on the written syllable (dyāùs, §314b).		ágne (voc. of agní) | pítar (voc. of pitṛ́, §373) | dā́tar (voc. of dātṛ́) | ā́tman (voc. of ātmán, §424)	No — encoded as an independent positional slot; the scheme letters ignore it. The validator must exclude non-pāda-initial vocatives entirely (they are unaccented by syntax, not by paradigm).	Folding vocative into the strong-case row — rejected because it would score every mid-pāda unaccented vocative as a rule failure.	
R02	Barytone polysyllables — accent fixed throughout	§315	T1 | T2 | T3 | T4 | T5 | T6 | T7 | T8n | T8i | T8s | T8t | T8c | T8√ (polysyllabic)	barytone	stem	stem	stem	first_syllable		a	sárpant → sárpantam, sárpatā | vā́ri | bhágavant | sumánas | sahásravāja (§315) | svásṛ → svásāram, svásrā, svásṝṇām (§373) | rā́jan → rā́jñā, rā́jñām (§424) | bhávant → bhávatā, bhávatām (§447) | marút-type barytones			A few numeral stems deviate: §315a → §483 (out of nominal-lexicon scope; numerals excluded from the axis).
R03	Strong-case endings never attract the accent; fusion is phonology, not mobility	§316a | §83–84 (by reference)	all	oxytone | monosyllable	stem_final				on_vowel_coalescence: fused		dattā́s, dattāú (from dattá) | nadyàs, nadyāù (from nadī́)	Encoded as their own value 'fused' with tone derived from mechanism (acute on blend, svarita on semivowelization), kept distinct from true mobility.	accent='ending' for fused strong cases — rejected: it misstates Whitney's system and would corrupt the scheme assignment (b-stems misread as c).	
R04	Weak-ending accentability gradient (framing rule)	§316b	all	oxytone | monosyllable		conditional	conditional				nāvā́, nāubhís (nāús) | mahatā́, mahádbhis (mahánt)			
R05	Monosyllabic stems — ending accented in ALL weak cases	§317 | §317a	T4/T6 (monosyllabic ī/ū) | T8√ (monosyllabic consonant) | diphthong stems §361	monosyllable	stem	ending	ending	first_syllable	A.pl: variant — default stem, lexical minority ending (D1)	c	nāús: nāvā́, nāubhís, nāuṣú (§317, §361a) | vā́c: vācā́, vāgbhís, vākṣú (§317, §391) | pád: padā́, padbhís, patsú (§391) | dhī́: dhiyā́, dhībhís, dhīṣú (§351)	Default A.pl = stem (nom-like); the §390a lemma list overrides to ending (datás, pathás, padás, nidás, apás, uṣás, jñāsás, puṁsás, māsás, mahás) or to free variation (vācás/vā́cas, srucás, hrutás, sridhás, kṣapás, vipás, durás, iṣás, dviṣás, druhás). Both lists carried in lexical_exceptions.	Uniform A.pl = ending per bare §317 — rejected as directly contradicted by §317a/§390a/§361a.	Retainers that keep stem accent through the weak cases: gó (§361c), dyó (§361d), nṛ́/stṛ́ (§372), śván/yúvan (§427), monosyllabic ā-root-stems (§350) — see lexical_exceptions and R07. | Sporadic stem-accented weak forms + ending-accented strong forms: §390b list.
R06	Monosyllabic ī/ū-stems — monosyllabic accent, A.pl like nominative	§350 | §349 | §351 (paradigm)	T4/T6 (monosyllabic)	monosyllable	stem	ending	ending	first_syllable	A.pl: stem (= nom: dhíyas, bhúvas) | G.pl: variant — dhiyā́m and dhīnā́m both (§351) | optional_fuller_endings: ending (dhiyāí, dhiyā́s, dhiyā́m loc.; later language only — §349: never in the Veda except bhiyāí RV once)	c	dhī́s, dhíyam, dhiyā́, dhiyé, dhiyás, dhiyí; dhībhyā́m, dhiyós; dhíyas, dhībhís, dhiyā́m/dhīnā́m, dhīṣú (§351) | bhū́s, bhúvam, bhuvā́ … bhūṣú (§351)	A.sg/A.du/N.pl/A.pl encoded stem-accented exactly as printed (strong cases + the A.pl=nom rule); only I/D/Ab-G/L sg, G-L du, G.pl and the middle cases shift.	Treating every non-N.sg form of a monosyllable as ending-accented — rejected against the printed paradigm.	Fuller singular endings āi/ās/ām are post-Vedic (§349) — the RV validator must not expect them.
R07	Monosyllabic ā-root-stems — accent fixed on the stem	§350 | §351 (jā́ paradigm)	T2 (monosyllabic root-ā)	monosyllable	stem	stem	stem	first_syllable		a	jā́ f. progeny: jā́bhis, jā́su, jā́nām (§351)	Encode fixed-stem (scheme a) but confidence=low; flag the whole cell as thin-evidence so a validation miss here downgrades the cell, not the ruleset.	Assimilating ā-monosyllables to the c-scheme of dhī́/bhū́ — rejected: contradicts §350's explicit exception, though only weakly attested.	
R08	Root-final ī/ū as last member of a compound — accent never thrown forward	§352 | §320 | §356b (svarita mechanics)	T4/T6 (root-compound)	oxytone (on the final member)	stem_final	stem_final	stem_final	first_syllable	on_semivowelization: the y/v syllable is circumflex (svarita): -dhyà-, -bhvà- (§352)	a	-dhī́s, -dhíyam/-dhyàm, -dhíyā/-dhyā̀ … -dhī́ṣu (§352) | -bhū́s, -bhúvā/-bhvā̀ … -bhū́ṣu (§352)	Predict acute-on-stem-vowel for the Vedic validator (dissyllabic reading), svarita spelling accepted as an orthographic equivalent of the same position.	Scoring svarita-written forms as a different accent position — rejected: penalizes orthography, not grammar.	
R09	Polysyllabic oxytone consonant stems — DEFAULT is columnar (no shift)	§318 (head) | §391 (marút paradigm)	T8√ (polysyllabic) | T8s | T8i	oxytone	stem_final	stem_final	stem_final	first_syllable		b	marút: marútam, marútā, marúdbhis, marútām, marútsu (§391) | bhiṣáj: bhiṣájam, bhiṣágbhis, bhiṣákṣu (§391a) | samrā́j (§391a)	The §318a–c enumeration is EXHAUSTIVE-by-intent ('Such are:'), everything else columnar; sporadics (§318d) are lexical, not systematic.	Weakest-shift for ALL oxytone consonant stems — rejected: contradicts 'only a few' and the marút model; would wrongly predict *marutā́.	§318d: 'other sporadic cases will be noticed under the different declensions' — captured per-class (R15 ṛ-stems, R17 an-stems, R18 nt-stems) and per-lemma (lexical_exceptions). | §318e: adverbially used case-forms may change accent (§1110 ff.) — out of scope.
R10	The shifting few — weakest-only shift for -ánt participles, mahánt-type, syncopating stems	§318a | §318b | §318c	T8t (oxytone participles/adjectives) | T8n (oxytone, syncopating — detailed in R17)	oxytone	stem_final	stem_final	ending	first_syllable		d	tudánt: tudatā́ vs tudátsu (§318a) | mahánt: mahatā́ vs mahádbhis (§316b, §318b) | majján: majjñā́ (§318c)			
