# ru_root_glosses.tsv -- machine-derived, UNREVIEWED candidate layer (H347, 08-07-2026)
# Source: SanskritRussian root_glossary.jsonl (corpus_lexicon Sa->Ru alignments), commit 61ad43b4f8e294ed4d383dc4a91f3a89040afe9e 2026-07-01
# Join: exact root_slp1 match against crosswalk/roots.csv, no lemma-hop, no NFD normalization (length-preserving SLP1 both sides)
# Coverage: 666/930 roots have >=1 corpus-attested RU gloss (71.6%); 264 absent from corpus_lexicon; 53 present but low-attestation (root_freq_n < 3)
# Promotion into any reviewed artifact is a separate human-gated step -- gaps stay gaps, no LLM-invented glosses.
whitney_no	root_slp1	root_iast	gloss_ru_1	count_1	gloss_ru_2	count_2	gloss_ru_3	count_3	root_freq_n	root_n_forms	homonym_shared
1	aMh	aṃh							0	0	0
2	akz	akṣ	в битве за ось и чеку (колесницы)	2	Оскопи	1	неуязвимость	1	4	3	1
3	akz	akṣ	в битве за ось и чеку (колесницы)	2	Оскопи	1	неуязвимость	1	4	3	1
4	aNg	aṅg							0	0	0
5	ac	ac	окинул взором	2	неразумных	2	лишенное сознания	1	5	3	0
6	aj	aj	выгнал	10	не победив	3	пригоните	2	47	28	0
7	aYj	añj	мажут	10	умащается	9	привязывается	9	263	86	0
8	aw	aṭ	странствующий	2	разум	1	странствуя	1	17	9	0
9	aRW	aṇṭh							0	0	0
10	at	at	протянутая	2	странствующего	2	бесконечная	1	14	10	0
11	ad	ad	поедает	22	ест	15	уселись	14	618	130	0
12	an	an	Одного	2	стеная	2	что дышит	2	27	16	0
13	am	am	поклонившись	20	склонившись	11	склонив	10	199	39	0
14	ay	ay							0	0	0
15	arc	arc	почтив	15	воспоют	10	Да воспоют	6	230	56	0
16	arj	arj							0	0	0
17	art	art							0	0	0
18	arh	arh	должен	198	благоволи	55	заслуживает	34	701	13	0
19	av	av	на помощь	50	помогут	19	помогли	14	402	59	0
20	aS	aś	достигли	41	достигает	39	вкушает	34	634	112	1
21	aS	aś	достигли	41	достигает	39	вкушает	34	634	112	1
22	as	as	есть	674	ты	321	я	223	4445	136	1
23	as	as	есть	674	ты	321	я	223	4445	136	1
24	ah	ah	сказал	122	говорят	98	называют	78	756	35	0
25	AYC	āñch							0	0	0
26	Ap	āp	достигает	112	достигнув	72	обретает	68	2797	221	0
27	Ar	ār	приведут в возбуждение	2	действует как арья	2	уважают	2	11	3	0
28	As	ās	почитают	59	сидит	56	почитает	54	1170	125	0
29	i	i	идет	85	достигает	40	идут	35	1041	93	1
30	i	i	идет	85	достигает	40	идут	35	1041	93	1
31	iNg	iṅg	колеблется	6	движется	4	шевелится	3	23	3	0
32	iC	ich							0	0	0
33	iw	iṭ							0	0	0
34	iq	iḍ							0	0	0
35	iD	idh							0	0	0
36	in	in							0	0	0
37	inakz	inakṣ	Приближаясь	2	приближаясь	1	стремясь подняться	1	6	5	0
38	iyakz	iyakṣ	хочет покорить	3	молишь	2	С нетерпением ждет	2	21	7	0
39	irajy	irajy	правишь	2	правит	2	управляете	1	12	7	0
40	iraD	iradh	стремятся покорить	1					1	1	0
41	il	il							0	0	0
42	iz	iṣ	хочу	141	желаю	112	хочешь	92	1565	107	1
43	iz	iṣ	хочу	141	желаю	112	хочешь	92	1565	107	1
44	I	ī	просим	51	обращаемся	17	мы обращаемся	9	144	14	0
45	Ikz	īkṣ	увидев	50	видя	42	глядя	22	632	127	0
46	INK	īṅkh							0	0	0
47	Ij	īj							0	0	0
48	Iq	īḍ	достойный призывов	11	достойного призывов	6	К кому надо взывать	5	92	16	0
49	Ir	īr	поднимаются	5	взмывают ввысь	3	приходят в движение	2	92	30	0
50	Irzy	īrṣy							0	0	0
51	IS	īś	властвует	12	владеешь	11	овладеет	11	137	20	0
52	Iz	īṣ	Прими	4	прими	4	поднимается	4	46	19	0
53	Ih	īh	стремится	6	стремятся	3	ищет	3	44	10	0
54	u	u	и	28	же	27	а	6	148	8	0
55	ukz	ukṣ	окропит	12	окропите	4	Окропите	3	88	32	1
56	ukz	ukṣ	окропит	12	окропите	4	Окропите	3	88	32	1
57	uc	uc	нравится	2	уютный	2	находит удовольствие	2	15	8	0
58	uC	uch							0	0	0
59	uJ	ujh							0	0	0
60	uYC	uñch							0	0	0
61	ud	ud							0	0	0
62	ubj	ubj	Обуздывая	2	Сжатый	1	закрытую	1	9	6	0
63	uB	ubh	оба	59	обе	33	обоих	13	183	11	0
64	uz	uṣ	прошла	3	испепели	2	спалит	2	23	12	1
65	uz	uṣ	прошла	3	испепели	2	спалит	2	23	12	1
66	UrRu	ūrṇu							0	0	0
67	Uh	ūh	соблюдаете	2	привезли	2	подразумевает	2	30	11	1
68	Uh	ūh	соблюдаете	2	привезли	2	подразумевает	2	30	11	1
69	f	ṛ	столкнувшись	2	выступил	1	поразил	1	11	5	0
70	fc	ṛc							0	0	0
72	fj	ṛj	простираясь	2	устремиться	2	устремляюсь	2	37	12	0
73	ft	ṛt							0	0	0
74	fd	ṛd	Расступились	1	причинить вреда	1	да падут	1	3	3	0
75	fD	ṛdh	процветающее	8	царства	3	преуспевал	2	73	24	0
76	fS	ṛś							0	0	0
77	fz	ṛṣ	течет	25	теки	9	течешь	8	134	17	0
78	ej	ej	движется	7	шевелится	5	приходит в движение	3	36	8	0
79	eD	edh	процветает	7	Процветает	2	заботится	2	41	12	0
80	katT	katth	похвалялся	5	хвастаешься	5	похваляешься	3	39	18	0
81	kaT	kath	говори	1	рассказывай	1	скажи	1	4	3	0
82	kad	kad							0	0	0
83	kan	kan	любящий	4	радуясь	3	Что	3	50	16	0
84	kam	kam	возжелал	3	жаждущего	1	жадно	1	13	6	0
85	kamp	kamp	колебаться	10	задрожала	5	дрогнул	4	120	36	0
86	kal	kal							0	0	0
87	kaz	kaṣ	расчесывающего	2	выскребали	1	почесывая	1	4	3	0
88	kas	kas	раскрывающийся	3	Разрезанного	2	Пусть лопнут	1	20	8	0
89	kA	kā							0	0	0
90	kANkz	kāṅkṣ	желает	27	жаждет	9	вожделеет	9	216	62	0
91	kAS	kāś	сияет	6	выглядели	5	виднеется	5	102	23	0
92	kAs	kās	засияла	1	сияет	1			2	2	0
93	ku	ku							0	0	0
94	kuc	kuc							0	0	0
95	kuYj	kuñj							0	0	0
96	kuww	kuṭṭ							0	0	0
97	kuRW	kuṇṭh							0	0	0
98	kuT	kuth							0	0	0
99	kup	kup	разгневался	11	разгневанный	8	в гневе	8	104	28	0
100	kuz	kuṣ	терзавших	1					1	1	0
101	kU	kū	где	1					1	1	0
102	kUj	kūj	стонут	2	звенящих	2	звеня	2	34	21	0
103	kUq	kūḍ							0	0	0
104	kUR	kūṇ							0	0	0
105	kUrd	kūrd	приплясывая	1	шаловливых	1			2	2	0
106	kf	kṛ	сделал	261	совершил	165	сделав	159	9432	817	1
107	kf	kṛ	сделал	261	совершил	165	сделав	159	9432	817	1
108	kf	kṛ	сделал	261	совершил	165	сделав	159	9432	817	1
109	kft	kṛt	рассек	14	отсек	11	отрубил	6	233	73	1
110	kft	kṛt	рассек	14	отсек	11	отрубил	6	233	73	1
111	kfp	kṛp	равнялись	2	желанных	2	горевали	1	28	15	0
112	kfS	kṛś	исхудало	1	увлекающий	1			2	2	0
113	kfz	kṛṣ	натянув	15	натянул	8	натягивая	8	301	142	0
114	kxp	kḷp							0	0	0
115	knU	knū							0	0	0
116	krakz	krakṣ							0	0	0
117	kraT	krath							0	0	0
118	krand	krand	взревел	13	заржал	7	заревел	3	83	38	0
119	kram	kram	вышел	25	отважный	18	выступил	11	1120	287	0
120	krI	krī	купленный	4	купленные	2	купить	2	38	27	0
121	krIq	krīḍ	играет	11	играя	9	развлекались	4	107	48	0
122	kru	kru							0	0	0
